review_id,product_id
review_cc34dcaea06c3544,B00YQ6X8EO
review_cfd786100db0a967,B081TJ8YS3
review_93be43bec25ad3b5,B097R46CSY
review_a470f9ddc8cdc8d6,B09JS339BZ
review_bf6403f440c25a94,B08BZ63GMJ
review_b2189cb833c621bf,B00R8DXL44
review_0a8d3a7cfc582479,B099DRHW5V
review_18cc4cfe9775d683,B08BBQ29N5
review_2b41e2080924fe84,B08P2DZB4X
review_60faeb18ca22c0e3,B086QY6T7N
review_2c84891452ea5b91,B08DHTJ25J
review_43598689dbe2013e,B07RBSLNFR
review_892df1ed9f8a3f98,B07SLFWZKN
review_18265caaa61eff58,B08JTNQFZY
review_48f3b22828b3759f,B08GLG6W8T
review_005cf0fa7367c5c3,B08M3C6LVS
review_4424aa0bd89d3078,B07GHPCT6T
review_1b2879d7b6a79f6f,B07KG1TWP5
review_e18f43bcdb734ad3,B07W397QG4
review_52f5c555beaf683d,B07GDQPG12
review_f2c88377b6dd94d8,B07J3GH1W1
review_a987c60f7f3c2a79,B01M7UMAUG
review_411f20878cf430c4,B00JMDPK8S
review_8d0321d68d3eb17f,B01ETWL5B2
review_07f3ad02d5bc0c14,B07ZJKVVLW
review_2e5f9d1944f8834a,B082QX2HP6
review_f4c69b5a58a4bc8c,B077SRDVG9
review_389ee46a6f2fd49e,B01AKTGHFW
review_2db84388d9c11aa3,B079SMVSYW
review_90b966404c618987,B07K8VTT6M
review_0c1186aa4dd84320,B083BDVS36
review_db9b80753c7f9572,B09FP8PP2K
review_4e14e95d0debcba7,B0BFR5WF1R
review_1ba0dd37d4a7f0af,B00946HGLW
review_52d3f19e7ca71cdd,B082FLP15V
review_4b5e9221ea920048,B0020MKBNW
review_61c4cf63cfd7e3a1,B00023J4AW
review_d1dab4a42e88dd2e,B005IYYF5E
review_6dd5286f8462113c,B0B96MFXSJ
review_46805cf6c13ff6d8,B01M5KNSQN
review_862444320c595435,B07KDNK11M
review_f40b34b3a3df6b25,B08DLGCYK8
review_5bfa8b6d6e4ceec8,B081GCFHPG
review_d336075a1d6b36ef,B07H8Z3SMK
review_d4c7fa02e26fd1bd,B08C9LZQN4
review_c7ef335fc2e87327,B07H281V4V
review_e50a4580ea75c13d,B09FF97RHL
review_fbb5572d981bd8af,B07Y5QX37B
review_1d40680edb86a135,B07XYXSYCD
review_16da6bc6e6de48d0,B07NSR3CKR
review_953640963d6c36e0,B07CJWG8SP
review_e291292f8292a8ce,B018F28B1Y
review_a73eb6c741f64325,B01HO1ZB7Y
review_ed2f86f6c6a424e6,B0040NQBAG
review_f3ab17cb89e048e6,B00JNI1DZQ
review_b6f969e3020191ab,B07T2L6JQR
review_31fe59015956e89f,B095SC4J8T
review_5049ea81675a7ef2,B087JNH3NC
review_6d7496c89a8d13df,B07SQ8193F
review_6ee1d0f0c896c284,B09CQ4PXLN
review_e189df2ea32bfbb1,B08DXDLR3P
review_048221e20b692e24,B0875V791H
review_6c0b080978ca79ef,B07LBK2YQX
review_aca41b48910f9b1d,B07FX94GYX
review_4e26623d4a91b66e,B08CXFDDV8
review_98eda1afbe479eb1,B015RR870U
review_85bd5d497280d600,B000OQFVLS
review_8454db77b7f7dc79,B00C0YZBJE
review_08c28354c64914b6,B0B8DZ7H5F
review_a55643a1ec9b6168,B0B4JP5YD9
review_01ee21e042ee7773,B0B4JPGX8P
review_3517081a3a2feaf2,B09KT4RJG6
review_05866ef34e59d9d2,B07KQ32Z8C
review_8fdd20bde6daae50,B08PQ6YXSH
review_7fcd4e58220dcf9f,B07W6H8CGT
review_d3c1ac827e78b170,B0BTJ6SYKB
review_2ba236fcdbecd3ac,B08KYLTK5H
review_4a3065741fc82bd4,B08KWN77LW
review_012407a6f61d4929,B08HXQ3T9K
review_7fdfac2740a43768,B0B2L218H2
review_13c8f3edd8bb6ef5,B0B2L218H2
review_992dc62b3ce119e7,B08FRQGYDF
review_9742d0518ab72bcd,B08BZ1RHPS
review_7477093345c70781,B085NYYLQ8
review_7af2e20f5394a01d,B085WTCBLG
review_426dac94cb074351,B088FBNQXW
review_f70219c937e9c72b,B087D7MVHB
review_dddbc672acbef840,B07PRDZ2BH
review_a3c7909aa28e2415,B083TLNBJJ
review_cf1cfaa4f118409c,B082NKQ4ZT
review_1f207b305bd3f107,B084D86YL8
review_e30b32c0ad88c75e,B07WNBZQGT
review_84e05d02b323b389,B07SW7D6ZR
review_9e480218b26b6c62,B07JDD2L3M
review_c0dd6ac5ed28fc24,B082MTTFZD
review_c3a3dee75eacec55,B07NPWK167
review_8e1664d61d6dbcb7,B07J2QZBTP
review_8cbc9d9dd06b4ec8,B07N45YN6C
review_0afef2b209c6ee3b,B077YR3333
review_37e697351108d154,B07FZ5HZLM
review_5cb9e342d0845d57,B07KV31WDS
review_3a7b843e75a35d00,B07GDQPG12
review_da181a789c84ad7e,B071R2QPF3
review_6e22a6b5b7264b47,B01KJPFO9W
review_8d06b29646e95266,B01B6V11UY
review_9f24cf81f5a275dd,B00GUTPV4A
review_d1f868005a2b3113,B01CO73OIQ
review_dca37d4083be035b,B00KR4AFJU
review_7e812e5bdc950ebe,B015ZXMSFQ
review_b7b6ad3d27a13e97,B00KXFD75M
review_cb2a13333450ef48,B010B0S67C
review_1a5e16adfc5b6c77,B00MDKICPK
review_90a251ce4344526b,B00NNKWDI6
review_de3e3fbaaf6e7057,B00N6WHTRG
review_cb222107c27011ea,B0943GJDP6
review_9e8645e6a722aff3,B0008F6QGO
review_eacfdf3f4d8ae70e,B08SWV1X6D
review_3f18f9763880a29a,B08JLXLJGS
review_c846c52fe777422a,B089K4SV23
review_492354ddf72635a0,B00KNIECVC
review_d8a5ff705be4236d,B088838886
review_8ed95166b93dd816,B01FVUMG28
review_e30999ff03e96eb2,B0093EQX6Y
review_a5573270fac4327d,B00JM1BZUW
review_c7f486cf9ebf055f,B07KDNK11M
review_59221470af6932a4,B08K41B227
review_a49a320fb3d7eae4,B00EIL38WO
review_12e0c2fbfaa6b25a,B003USID1C
review_596ec632c92acf7c,B01N070HWY
review_53d609f91ff5e738,B00G7UFXJA
review_0bef09ef9acc6e40,B0B7RBK4NJ
review_76cd36419115b6ac,B010B5ZE4U
review_048326da5b25b3d4,B0BP2Y6QY4
review_fb71f123ca94d8f3,B09JZXY4YR
review_647e761ac027fcbb,B08XJWLLKQ
review_3a2cc54463477e36,B08PLFZB89
review_ef79073b2a53c8d3,B08KHRF9NY
review_3d62076bbfc719cf,B08N6YHQXT
review_a58055a62f284440,B08SQ31H8P
review_5140a296652d88e4,B08LZLBXYT
review_fd9a8573a9f9e90a,B08NPBQR9L
review_1acfa37f4ff5b8db,B08P8BN9BZ
review_a6aaea6b908d8dbe,B08BLX72TP
review_278187a2e81e8ff1,B08LYT4Q2X
review_b00e50e71bbe7f6e,B0841WQNNZ
review_d936c32d3254ecd3,B087ZQK2G8
review_e8c65dceec7c1054,B087Z9X39L
review_9c7f0e44f7b8b576,B07XQKH3RY
review_ef3e5c802c8fd292,B084ZHP45Y
review_a6d079ba9172c0d7,B07LCHCD6Q
review_084e60035b65f5ba,B07H3S8WTV
review_041ac1c0dc58d4bb,B071JMGPTH
review_562e4fd46dced990,B07F8PCLDV
