attribute_id,name,value,attribute_type
attribute_791306d99c6c2df4,brand,howard products,brand
attribute_cf5ac59fc5a3e8fe,brand,levine health products,brand
attribute_f03aa5d3452da917,color,black,color
attribute_e451436c000343e4,brand,yes to,brand
attribute_9e51203668df76d3,skin_type,acne prone,skin_type
attribute_c301b5888660fbbb,texture,powder,texture
attribute_e173c0208586d895,size,10 fl oz,size
attribute_7e09de9ee53b7d37,size,5 fl. oz,size
attribute_6d38ebc2e74c4cbf,brand,cherioll,brand
attribute_fc6db98750f95668,skin_type,all,skin_type
attribute_794801b1361498e4,benefit,long lasting,benefit
attribute_7912feddd59b109f,brand,precision,brand
attribute_3b630902f26f923d,size,93mm,size
attribute_3c49bc8dbb3e6bde,brand,lurrose,brand
attribute_526cb14653c00ed8,material,acrylonitrile butadiene styrene (abs),material
attribute_2f1a556d86dc40bf,color,as shown,color
attribute_436a5a52435e900e,size,large,size
attribute_bd4cfe5b5b94e967,size,100pcs,size
attribute_c9f5bc47b000ea44,brand,edoneery,brand
attribute_4473db570896b2ec,material,silk,material
attribute_94d7ddc6afd2a95c,size,1 count (pack of 1),size
attribute_15fc1d77d75205a5,brand,maitys,brand
attribute_1b00c776edc10fad,color,clear,color
attribute_601f0b71ab06a2de,brand,geyoga,brand
attribute_eb4e8ecb40c2c87b,brand,getmore7,brand
attribute_b282014d7c84d09f,size,1.5oz,size
attribute_edcf84a7e268bb42,brand,balmain,brand
attribute_04bafd83548381d1,texture,spray,texture
attribute_d7b531d83ba03f81,size,90ml,size
attribute_dade4590d7137f15,color,gold,color
attribute_96d9328f52d10ba5,product_type,eau de toilette,product_type
attribute_9c1ef1d8e595f68e,scent,gold musk,scent
attribute_c15c9d8547cf1f88,size,3 oz,size
attribute_111636ee87b377f4,form,spray,texture
attribute_ab77118a8e8c9181,brand,avon,brand
attribute_b96630ed250523ee,color,brown,color
attribute_e7931a1d3bfe18c8,product_type,mascara,product_type
attribute_358b7c417c4d0cfe,brand,brrnoo,brand
attribute_64e1b604d8fbc982,material,metal,material
attribute_a3e15900fc78187c,hair_type,all,other
attribute_2ac91817c6dc2ed6,size,1.00 count,size
attribute_174b54de7122ff6f,product_type,beard comb,product_type
attribute_91f6f67f0d907219,material,stainless steel,material
attribute_4d4dbae193cde8b7,brand,buytra,brand
attribute_5f4d23ea2953441b,brand,chloe,brand
attribute_68471a2791d5edf2,product_type,fragrance,product_type
attribute_dd4fc84dc1ebc789,scent,nomade,scent
attribute_caf7cb75386c5541,brand,dingxiu,brand
attribute_a8d80fb2270ca2ab,size,100g,size
attribute_23826e2eb6d2e1c8,brand,biomiracle,brand
attribute_c4f35b4bf51955d3,scent,apple,scent
attribute_da84be739250c281,texture,sheet,texture
attribute_61aaf750d3bbc379,benefit,hydrating,benefit
attribute_40d1720424886e63,brand,ppy,brand
attribute_106eb31d0ad8769a,scent,aloe,scent
attribute_1ab4b8ffdfec4f8f,color,white,color
attribute_a82901f032607ff8,brand,nadula,brand
attribute_0efeb815415e9186,material,human hair,material
attribute_6285d96f3d997d87,hair_type,"curly, coily",other
attribute_ec1264b4311e7b7e,size,18inch,size
attribute_821cb6816ee3a815,brand,wixar naturals,brand
attribute_7b6b1771f993381d,skin_type,"oily,sensitive,all skin types",skin_type
attribute_7769c6877844280a,scent,lavender,scent
attribute_9ec11ecb096b876f,texture,bar,texture
attribute_b72bd63956647c5e,size,2 pack,size
attribute_812aeb380781c547,brand,virochemistry,brand
attribute_70948989c95ee1b1,texture,liquid,texture
attribute_1855f0b8cc7d9dcf,size,1 fl. oz,size
attribute_07395bdb7106a060,brand,ve sunny,brand
attribute_3c6b220fd942dff3,hair_type,straight,other
attribute_5b1aa15c3db9fb4d,size,7pcs,size
attribute_b1ff9acc49efb41c,brand,toodoo,brand
attribute_61ae9fde35bd1c6a,brand,muaowig,brand
attribute_5a1bb5553d3d4fbf,size,14 inch,size
attribute_a64490da866eb222,color,red,color
attribute_727722260bf8629b,brand,astraet,brand
attribute_b8a0a3f33c239949,material,rubber,material
attribute_2f222083c2390ce0,color,pink,color
attribute_bef2b14bcb7793ba,size,10 pcs,size
attribute_ca5d2590a05cde70,brand,elbt,brand
attribute_47ac658bd11eb7df,material,emery,material
attribute_f907d3441c6a198a,size,12.00 count,size
attribute_8f250fa9db0de2d1,size,12 pcs,size
attribute_e53357e05e60758f,brand,yun mei hair,brand
attribute_cd744dd77d211b38,material,synthetic,material
attribute_f5014e73afcc8131,hair_type,wavy,other
attribute_86ae89fc7aa016be,size,22 inch,size
attribute_38e3086b5aca3164,brand,garnier,brand
attribute_55774c5f29f3f538,size,6 oz,size
attribute_517aa8e1819bf655,brand,bewave,brand
attribute_b5e40193f5860fe3,hair_type,curly,other
attribute_470a556776f50b39,brand,borelth,brand
attribute_902031c04e676933,size,8 ounce,size
attribute_052ce7985c13ac7d,brand,enjoy hair care products,brand
attribute_a2904fe41b8dd4a8,size,8.8 oz,size
attribute_428895548273a05f,brand,windmax,brand
attribute_22ec6f2a1cbb85bb,brand,suavecito,brand
attribute_8719400aec8afcb6,texture,wax,texture
attribute_5f8f3c63aaf70687,benefit,"this water soluble pomade offers a medium hold and medium shine without any harsh chemicals, stiffness, or flaking.this water soluble pomade offers a medium hold and medium shine without any harsh chemicals, stiffness, or flaking. see more",benefit
attribute_8204c65e7d25e84e,brand,co-t arbrend,brand
attribute_89ea3446024bc3e6,size,3.3oz,size
attribute_09669b02b50a53d0,brand,john frieda,brand
attribute_a520aac71d9029b5,scent,coconut,scent
attribute_d30c28845025b090,hair_type,"coarse, wavy, curly, dry, damaged",other
attribute_fb55d1a8586f165b,size,8.45oz,size
attribute_b559e0b425310383,brand,sharonelle,brand
attribute_fbd8936c219bb836,skin_type,sensitive,skin_type
attribute_dd9b31d78e9809bb,size,4.00 count,size
attribute_9f6ab3d754f50b65,size,14 oz,size
attribute_d385eace3210dafb,brand,voronajj,brand
attribute_9998b8ec16b62de1,size,1.0 count,size
attribute_262df0ad1c73df40,size,0.09 oz,size
attribute_424868539ca32a82,brand,dufy,brand
attribute_a4c89b175b4a937a,color,"colorful,rose",color
attribute_4605c17108d26df7,brand,dionis,brand
attribute_85cfb540c741ed1c,size,4.00 tube,size
attribute_4625b95d17bc0d6a,texture,"foam, gel",texture
attribute_77e7cc27560f239f,size,8.5 fl oz,size
attribute_b6fea74f81249b78,size,250ml,size
attribute_d0c83201683f12e5,brand,100% pure,brand
attribute_a0636dc79f8c74e6,scent,"orange,mint",scent
attribute_2b77f13bdb4e3e9e,hair_type,dry,other
attribute_07d9c59deba37257,size,13.5 fl oz,size
attribute_675c6e56808fd55f,brand,feiding,brand
attribute_16124023b138faf3,brand,agoal,brand
attribute_47a7889ca46a55ae,brand,shiny leaf,brand
attribute_ea80465d7c62b636,scent,almond oil and fractionated coconut,scent
attribute_1dffaa257c5c9706,texture,oil,texture
attribute_c1290ddf3a99a528,size,32.00 fl oz,size
attribute_de72d18517cdc29d,size,16 fl. oz,size
attribute_d701f6f2f5f2f333,brand,cherry,brand
attribute_2e6ac263509bc4c5,material,glass,material
attribute_cc853181e1d73030,size,16 oz,size
attribute_14e4d38737e92288,brand,cloud 9,brand
attribute_c76bc905aee581ea,texture,capsule,texture
attribute_e28d4ccc189295e5,size,2.7 fl oz,size
attribute_503f3dea5aba53ac,size,80ml,size
attribute_609e1b68106c9182,brand,raven moonlight,brand
attribute_857b022ce8efd21b,skin_type,"all, sensitive",skin_type
attribute_b81357a2689f75fe,scent,white kaolin,scent
attribute_3fc21992a4f08219,texture,clay,texture
attribute_128132a01aa4015e,size,1.0 ounce,size
attribute_0f92b65079720be2,brand,lamjad,brand
attribute_f8568cc69f9cf359,brand,rpp,brand
attribute_ffc48dcc3d2619ea,size,2.65 oz,size
attribute_b873c13e866ba19e,brand,serge lutens,brand
attribute_7324d0a3fc511f5c,size,03 oz,size
attribute_dee05eb195f8134f,brand,neutral,brand
attribute_3b7ac1f5723302dd,brand,house of armáf,brand
attribute_8fbb8e90dbaaaf09,size,3.4 oz,size
attribute_3693333570d510dc,brand,vedory,brand
attribute_ecd13d995fe7b527,size,5pcs,size
attribute_cb239c4a2f91633f,brand,gojo,brand
attribute_5fa99532ae1d5654,brand,derblue arbrend,brand
attribute_4e9409e110db9b7e,brand,lily of the desert,brand
attribute_ed839b819b8f8482,texture,softgel,texture
attribute_c2ee456cf9bc2f6c,size,32 oz,size
attribute_3e1f1681925b9e91,brand,norelco,brand
attribute_7c8f8ab7abfdb902,color,metallic grey,color
attribute_d1159741c771da2b,brand,cosrea,brand
attribute_fbae1ef82d3ba923,brand,easyouth,brand
attribute_003fa00e3406d5a6,size,20pcs,size
attribute_378b795c1cfb43bb,brand,benehair,brand
attribute_bd988b477728c9cc,size,14inch,size
attribute_b18ba4c239e2f620,brand,glance,brand
attribute_3d5c88588d5742ba,brand,aj wholesale,brand
attribute_23057a09ff44b40a,brand,bce trends,brand
attribute_38740edce505787c,color,blue,color
attribute_b4b0f32ebc93bfd8,brand,tuklye,brand
attribute_6b8d30ae2d0aaebc,material,"acrylic, acrylonitrile butadiene styrene (abs)",material
attribute_9441402397455d8b,size,24pcs,size
attribute_ce6ff15e5fe0efd5,product_type,press-on nails,product_type
attribute_b35bc3a5a95c4178,material,acrylic,material
attribute_064988faaf480bdc,brand,pureluca,brand
attribute_a40817a7f6ffbe50,texture,scrunchie,texture
attribute_ec059e792e40c5de,size,4pcs,size
attribute_983b68797125dd92,product_type,scrunchie,product_type
attribute_6f92b88b01c4f521,color,floral print,other
attribute_faf979ae36c48940,brand,lechat,brand
attribute_42f2ef53eef1b341,texture,gel,texture
attribute_75175b7ee4158629,size,0.25oz,size
attribute_305a57e6906a069a,product_type,nail gel,product_type
attribute_88fab22610aca721,item_form,gel,texture
attribute_e19004220e56b33f,brand,wislibe,brand
attribute_0a045db4ea92a37b,brand,thierry mugler,brand
attribute_cae5d609508b8082,texture,lotion,texture
attribute_cd4fa092e1bdb111,size,6.9 ounce,size
attribute_7536143722dc9cab,size,7 oz,size
attribute_c7e28b0030dad551,brand,amope,brand
attribute_7c4c7aafe8c8f563,scent,macadamia,scent
attribute_d6f11db010f4fb38,benefit,smoothening,benefit
attribute_9f0d37f22dcfbeb1,brand,yygy,brand
attribute_51612ed7068aee26,size,26 inch,size
attribute_5e0eabb9aa8b7098,brand,jxueych,brand
attribute_8a40d7d5095ee24d,material,fabric,material
attribute_13477ff297e7b3c0,color,"multicolor,white",color
attribute_cbdc7d1bb9fcc5fe,brand,reskin,brand
attribute_89e161eb3cd01ee4,size,10.14fl.oz,size
attribute_85ba7aa072fd1a67,brand,havtyyise,brand
attribute_3e9fe60242a50314,size,31 inches,size
attribute_caa07b7cad9367c0,brand,lifetop,brand
attribute_cc249886fe96fc7a,benefit,"softening,pores,exfoliating",benefit
attribute_6f177f542ba847e3,material,bamboo,material
attribute_3fed0fae4f0e5c97,brand,wxj13,brand
attribute_525d5eeb0c4a5d73,texture,clip,texture
attribute_7ad6c3de42bc251c,brand,uxcell,brand
attribute_960c62985c1f0d48,size,5.0 count,size
attribute_68c0b5a87be34436,brand,aisi beauty,brand
attribute_5d246dfff47e340c,hair_type,"wavy, curly",other
attribute_9c9d9eadb3298777,size,24 inch,size
attribute_220df82c8f43e4dd,brand,yepei,brand
attribute_4ca1f2551c24976f,size,150g,size
attribute_17e8fdc5197bb998,brand,daxile,brand
attribute_f518ba21b404ac85,brand,umi,brand
attribute_fa45064c5442d9ec,brand,naked nails,brand
attribute_2620fa22e76cff1d,brand,kemeisi,brand
attribute_926bb61ed0c3f1c5,brand,mowiglux,brand
attribute_fa047c4875a87361,hair_type,"curly, afro kinky curly",other
attribute_53970d2893b22d59,brand,face atelier,brand
attribute_38e405a05acf3a49,brand,clear essence,brand
attribute_7d31d2360b37b4e6,scent,"lavender,rosemary",scent
attribute_af71680c3079f29f,texture,cream,texture
attribute_0dc3f98a533eef51,size,8.0 ounce,size
attribute_ee0d0f918d1be7e5,brand,emirde,brand
attribute_f08901d1e326f62f,brand,funny girl designs,brand
attribute_54eb6091119ccfd4,material,"silk flower, cotton",material
attribute_22e882d1289e5938,brand,dienalls,brand
attribute_a9e53a75b46f773a,brand,remington,brand
attribute_83da3fa146ced529,brand,suave,brand
attribute_66775ae2ae3e78b4,scent,fresh,scent
attribute_df83a540969e6cbf,size,12oz,size
attribute_43e655d9a10664c6,brand,nlcac,brand
attribute_056ad6b880d33cf9,texture,wrap,texture
attribute_53634f6f2aad04ec,material,"polyester, cloth, plastic, cotton",material
attribute_22a474fd7486987b,brand,miss u hair,brand
attribute_bdd5a57bdca476d3,size,50cm,size
attribute_5c7e38781ffcc3cd,color,purple,color
attribute_28d4c784d4297439,brand,african pride,brand
attribute_95a9fd651f0cd577,size,2.25 oz,size
attribute_46a55037d00ad97d,color,silver,color
attribute_1c11df092c7fcef6,scent,citrus,scent
attribute_1dee09196e1d57f4,brand,philips,brand
attribute_9db79c4611d12e22,brand,qthair,brand
attribute_4d100a054f1efaf0,size,300g,size
attribute_70789f71935f1fbf,brand,anbala,brand
attribute_bfbdb0e2c8ea5eb4,material,"spandex,rubber",material
attribute_d96eb9af9700f520,size,16.00 count,size
attribute_46f81f3ac5545e1f,size,one size,size
attribute_ba368ab3d995dbfd,size,16 pack,size
attribute_4ed0cc3e49517332,brand,avena,brand
attribute_3eb7fda6fcb855d6,product type,bath & shower gel,product_type
attribute_a891b897e0de1a83,brand,specialized care co inc,brand
attribute_92ce69886504402a,product type,toothbrush,product_type
attribute_fdd202fe86451f14,brand,revlon,brand
attribute_d1aa821e012e85cb,texture,liner,texture
attribute_8bcf7915883f76c7,product type,lip liner,product_type
attribute_5bba88e98f458bd2,color,mink,color
attribute_02ed94db9b5d9d14,skin type,all,skin_type
attribute_e28f6900f2fb3299,benefit,longwear,benefit
attribute_1f5a050690b5f68e,brand,mererke_pretty,brand
attribute_2a5fae0136994878,item_form,liquid,texture
attribute_65b747218578c079,product_type,lip gloss,product_type
attribute_f66f084b52258187,brand,osrsr,brand
attribute_4f44fd11012d3b46,product_type,facial massage tool,product_type
attribute_baf9ff0260dff832,benefit,reduce puffiness,benefit
attribute_b17620673a4feca0,benefit,shrink pores,benefit
attribute_f1938414e04389fa,target_area,face,target_area
attribute_f6d39f19a035585c,target_area,eyes,target_area
attribute_1505c5a39a9eae32,target_area,neck,target_area
attribute_b53a727d5fdd233d,brand,jinshiband,brand
attribute_2ac86085c16fcbeb,material,resin,material
attribute_3fa28e4960368bc1,size,small,size
attribute_7479fde1126b6127,product_type,headband,product_type
attribute_4d4df30ea419824d,brand,xingqing,brand
