product_id,attribute_id,confidence,evidence,model
B01CUPMQZE,attribute_791306d99c6c2df4,0.95,store: Howard Products,rules
B000B658RI,attribute_cf5ac59fc5a3e8fe,0.95,store: Levine Health Products,rules
B000B658RI,attribute_f03aa5d3452da917,0.65,title: black,rules
B076WQZGPM,attribute_e451436c000343e4,0.95,store: Yes To,deepseek-v4-flash
B076WQZGPM,attribute_9e51203668df76d3,0.9,Skin Type: Acne Prone,deepseek-v4-flash
B076WQZGPM,attribute_c301b5888660fbbb,0.9,Item Form: Powder,deepseek-v4-flash
B076WQZGPM,attribute_e173c0208586d895,0.9,Unit Count: 10 Fl Oz,deepseek-v4-flash
B076WQZGPM,attribute_7e09de9ee53b7d37,0.75,title: 5 fl. oz,deepseek-v4-flash
B088FKY3VD,attribute_6d38ebc2e74c4cbf,0.95,store: Cherioll,deepseek-v4-flash
B088FKY3VD,attribute_fc6db98750f95668,0.9,Skin Type: All,deepseek-v4-flash
B088FKY3VD,attribute_c301b5888660fbbb,0.9,Item Form: Powder,deepseek-v4-flash
B088FKY3VD,attribute_794801b1361498e4,0.9,Product Benefits: Long Lasting,deepseek-v4-flash
B07NGFDN6G,attribute_7912feddd59b109f,0.95,store: Precision,deepseek-v4-flash
B07NGFDN6G,attribute_3b630902f26f923d,0.75,title: 93mm,deepseek-v4-flash
B07G9GWFSM,attribute_3c49bc8dbb3e6bde,0.95,store: Lurrose,deepseek-v4-flash
B07G9GWFSM,attribute_526cb14653c00ed8,0.9,Material: Acrylonitrile Butadiene Styrene (ABS),deepseek-v4-flash
B07G9GWFSM,attribute_2f1a556d86dc40bf,0.9,Color: As Shown,deepseek-v4-flash
B07G9GWFSM,attribute_436a5a52435e900e,0.9,Size: Large,deepseek-v4-flash
B07G9GWFSM,attribute_bd4cfe5b5b94e967,0.75,title: 100Pcs,deepseek-v4-flash
B08XZ97HFY,attribute_c9f5bc47b000ea44,0.95,store: Edoneery,deepseek-v4-flash
B08XZ97HFY,attribute_4473db570896b2ec,0.9,Material: Silk,deepseek-v4-flash
B08XZ97HFY,attribute_94d7ddc6afd2a95c,0.9,Size: 1 Count (Pack of 1),deepseek-v4-flash
B08DNQTTQK,attribute_15fc1d77d75205a5,0.95,store: Maitys,rules
B08DNQTTQK,attribute_1b00c776edc10fad,0.65,title: clear,rules
B08P7LXKP7,attribute_601f0b71ab06a2de,0.95,store: Geyoga,rules
B07FVZVQKV,attribute_eb4e8ecb40c2c87b,0.95,store: GETMORE7,rules
