product_id,feature_id
0977217213,feature_35dd99ec2fc57c68
0977217213,feature_bc5345155dc84fe3
097920500X,feature_3cf94e99d214f1c5
1598438263,feature_5144865582a20248
1610182464,feature_133061be56c5b2f8
1610182464,feature_53ded3cb5c5799b4
1610182464,feature_606b8ca31577269d
1610182464,feature_b70656ea5f9a945d
1610182464,feature_de42d47f6fb64f9b
1741666929,feature_28e72f24e3269832
1741666929,feature_488a0a1b1aba748a
1891129716,feature_829216bd0b6a44e4
1891129716,feature_d5b2d1858e11a113
1891129716,feature_ed715f1950bdf8d7
1891129716,feature_f4182241a7e2da3e
7458592737,feature_3d5c64b236f48df3
7458592737,feature_57f01df5108181a7
7458592737,feature_62f0c13c3dd6ab59
7458592737,feature_b91e5da186598e8a
7458592737,feature_fdbff6ea74b980fa
8674394329,feature_92724177d8a2e8c5
979077530X,feature_209c116df1b9db68
979077530X,feature_42091d61f2c4b7a5
B000052WYR,feature_035ed44c1969e5cc
B000052WYR,feature_2a55094db98869e8
B000052WYR,feature_3ef3789dc9386e58
B000052WYR,feature_742505cc30df1194
B0000537I2,feature_021c25ab0b354eb8
B0000537I2,feature_066c9a30cb2dc247
B0000537I2,feature_08d322ed281a2cc5
B0000537I2,feature_358b9c1d81cce381
B0000537I2,feature_6c8e64a653ed1435
B0000537I2,feature_850c838e3e12692e
B0000537I2,feature_9237fa2ceec425fb
B0000537I2,feature_92fbfade2e9c37f3
B0000537I2,feature_b3865959d1bd811e
B00005AUIC,feature_193f238162bd5bae
B00005AUIC,feature_324443461f88bbd6
B00005AUIC,feature_8aeb1971a9e5e83a
B00005AUIC,feature_a55d51cb569e832d
B00005AUIC,feature_bbb05c3b8d7caca6
B00005AUIC,feature_cfae769c1f9389bf
B00005AUIC,feature_fc50e190ba651ea9
B00006AG6Z,feature_043e36f7e2752911
B00006AG6Z,feature_4a756ca07e9487f4
B00006AG6Z,feature_57e3dabb901b27ed
B00006AG6Z,feature_6122c0f6e76f9a78
B00006AG6Z,feature_6f907b0d13de8024
B00006AG6Z,feature_75c4e8d2f22cc17c
B00006AG6Z,feature_7d08c2a7d7370aac
B00006AG6Z,feature_950cd0819bff0bd1
B00006AG6Z,feature_9e07218cac3f4558
B00006AG6Z,feature_ef309fcfd12aa4ed
B00006JUK6,feature_02c092986a3da37d
B00006JUK6,feature_1ff1d54393b88c4b
B00006JUK6,feature_2514148b730d6873
B00006JUK6,feature_4cb728e172e95c9e
B00006JUK6,feature_6adcef3f49cca42c
B00006JUK6,feature_7ad64b58afb11161
B00006JUK6,feature_947e08e3397f904c
B00006JUK6,feature_bdc5a3b5d1453b12
B00006JUK6,feature_d70108ebb82120a6
B00006JUK6,feature_f98168dd06f2c3e7
B00009RB11,feature_02c092986a3da37d
B00009RB11,feature_10f4429dff298068
B00009RB11,feature_604cb8feeb1b2e78
B00009RB11,feature_6b0273d8bbd09968
B00009RB11,feature_749ca29cb789d36e
B00009RB11,feature_9d639fd6eba50787
B00009RB11,feature_a627180c0e4ff455
B00009RB11,feature_d70108ebb82120a6
B00009RB11,feature_e657504371cbfde2
B00009RB11,feature_e9123d04e2efa407
B0000ZLF18,feature_0a66ca1ef9b2f6a8
B0000ZLF18,feature_3df86649f12ef6ab
B0000ZLF18,feature_539f64f8e5415fdf
B0000ZLF18,feature_73c51d585072fda1
B0000ZLF18,feature_76703e92b6f576e5
B0000ZLF18,feature_f20436e23e4f24a0
B00011JN5G,feature_072de80f726daa63
B00011JN5G,feature_1c1a90858e7f40ea
B00011JN5G,feature_70388abcdd15d3fc
B00011JN5G,feature_d21cb93b2d226757
B00011JN5G,feature_d537c524b8e17627
B00011JN5G,feature_f0a3b9a74e9bb246
B00013TBHE,feature_63ce4bf1d00516c3
B000143M46,feature_a01bb18627d8f8c3
B000143M46,feature_d4ee5641a616cff3
B00014FBC2,feature_44c405eb32df117c
B00014FBC2,feature_80dfe65018a04173
B00017YG6G,feature_c45728c478992777
B0001F3ULK,feature_14a6a4160fd10d83
B0001F3ULK,feature_775c3b8eb7867cba
B0001HYJW2,feature_02c092986a3da37d
B0001HYJW2,feature_224ecb2b8571319d
B0001HYJW2,feature_22f06fa7ac948abf
B0001HYJW2,feature_247d68da4937d4d0
B0001HYJW2,feature_4a3e9bee74c185e0
B0001HYJW2,feature_790fd398346fd994
B0001HYJW2,feature_b7910019d8c62f1e
B0001HYJW2,feature_c0c2d0c63371e016
B0001HYJW2,feature_c8640920c1cfc947
B0001HYJW2,feature_d70108ebb82120a6
B0001HYKBC,feature_02c092986a3da37d
B0001HYKBC,feature_24610bebee310ea0
B0001HYKBC,feature_25543089d82a5f8b
B0001HYKBC,feature_37b396e2c40ba74c
B0001HYKBC,feature_55443dfcd5cf0141
B0001HYKBC,feature_9a2cfef3ddfb66fd
B0001HYKBC,feature_af0673f2ea744d7a
B0001HYKBC,feature_aff3f8ef9c7bc43e
B0001HYKBC,feature_d70108ebb82120a6
B0001HYKBC,feature_e9365a971ff1f939
B0001UFEXW,feature_817c87cb1d436aba
B0001UFEXW,feature_aecdf134d308d1f1
B00020UR4C,feature_0cac079eb30a5a14
B00020UR4C,feature_125d4584117cd9c9
B00020UR4C,feature_1b0c5d23e073608e
B00020UR4C,feature_2fcb264b45dd349b
B00020UR4C,feature_36be00a95fc2a077
B00020UR4C,feature_6eeb591bb5bd05fb
B00020UR4C,feature_bcea1b9d573d4c4e
B00020UR4C,feature_c500f4dfd882cef7
B00020UR4C,feature_cd8912983b08f005
B00020UR4C,feature_e1072fadb7e5f687
B00025H5W4,feature_76a6427fd5fd9827
B00028EYWK,feature_7524861e815975ad
B00028NLKG,feature_24ac7182841b9c99
B00028NLKG,feature_8d2dfe8bb9ba3b71
B0002DHG48,feature_2df95bd48befce90
B0002DHG48,feature_5ac2de2fd1bb3527
B0002GFKYI,feature_27f7c567afbfeba7
B0002GFKYI,feature_680362703495eb47
B0002GFKYI,feature_6db8c1880d6f6c54
B0002GFKYI,feature_edba3fee7a4438cc
B0002GFKYI,feature_f5439adaccce1a9c
B00064A816,feature_17dde88014b33e9f
B00064A816,feature_2687a94fea678039
B00064A816,feature_558729032e154a2d
B00064A816,feature_c51f4cd368217f0b
B00067ZIPO,feature_1e343bdab1407aa5
B00067ZIPO,feature_4af0aa896417a4e2
B00067ZIPO,feature_d7332c9bc31ff44d
B00067ZIPO,feature_db169a6a910a42f0
B0006NXPMQ,feature_43a464fa055ec5a1
B0006ODSKY,feature_1126f361b4576151
B0006ODSKY,feature_12fe04fa971091bc
B0006ODSKY,feature_53fe06fe014faec3
B0006ODSKY,feature_7f97a2870eef9725
B0006ODSKY,feature_ba2daa738f247395
B0006ODSKY,feature_ed63e809ac68d18a
B0006PRV1U,feature_4dbc2b3ee124a31f
B0006ULJVI,feature_ccfd213b71476686
B00075MC2W,feature_9dc35e8993ba5c9d
B00075MC2W,feature_b17ffbe49cc5aaa0
B00075MC2W,feature_f83f2f531725a8c4
B00076HMSA,feature_4d04cccef9eabc52
B00076HMSA,feature_6752b81b4e168baa
B00076HMSA,feature_776cc22c3b2466ea
B00076HMSA,feature_8c2bc898531a6ad9
B00076HMSA,feature_c1e510f8f34b1205
B00078X2UU,feature_4e0b632e105416a9
B00078X2UU,feature_68dec5283133e1b3
B0007CHJGY,feature_17dde88014b33e9f
B0007CHJGY,feature_2687a94fea678039
B0007CHJGY,feature_558729032e154a2d
B0007CHJGY,feature_c51f4cd368217f0b
B0007XQ2W0,feature_1551a12ca08e9fae
B0007XQ2W0,feature_5134533d386f6305
B0007XQ2W0,feature_53568b70fe27bbc2
B0007XQ2W0,feature_def037c4663a889a
B0007XQ2W0,feature_fd4d449c6414149c
B0009EILPI,feature_10c722df2354f0cb
B0009EILPI,feature_6c6b4aba55abdd3b
B0009EILPI,feature_980553bbaa5cb11e
B0009EILPI,feature_f70a6e8059b37603
B0009MFUOU,feature_02c092986a3da37d
B0009MFUOU,feature_4b24316cb3729c17
