product_id,store_id
0005946468,store_3633ff8b4eec439d
0977217213,store_197402b4c31fe608
097920500X,store_6cf03bebe96ca631
1610182464,store_5477449dcaa90f4f
1625684320,store_938bdaf77ccd8a37
1741666929,store_ed8682350b01c7c1
1891129716,store_4a2202e0bf10ff69
7458592737,store_4138307ea88dc338
8674394329,store_3914917ba1dddf1c
979077530X,store_5aa86e0581a05566
B000052WYR,store_dcf69d84b7765c92
B0000530M9,store_320ba8cb0dead8b1
B0000537I2,store_520fbb3c1873361f
B00005AUIC,store_5b8d4744de6eb1a8
B00006AG6Z,store_78de6c69b77837bd
B00006JUK6,store_814e41cd598f0b9c
B00009RB11,store_11a6162888a27f31
B0000ZLF18,store_9dc46bb578f2751c
B00011JN5G,store_52efd00631ae2752
B00013TBHE,store_a3404013c7544b09
B00013Z0EM,store_6cf4f4e8bd3f76a4
B000143M46,store_a01bb18627d8f8c3
B00014FBC2,store_44c405eb32df117c
B00017YG6G,store_c1a3dec25e62adf4
B0001DDK2G,store_9f69484bf3276153
B0001F3ULK,store_d5c3dff44a282a99
B0001HYJW2,store_85a5a03ad99fc76a
B0001HYKBC,store_85a5a03ad99fc76a
B0001UFEXW,store_5fcc63f3e04fc8fb
B00020BKCK,store_fcd12e1646b6cd63
B00020UR4C,store_1a0b6e53b8ad022c
B00025H5W4,store_b4da807ae91eef79
B00028EYWK,store_cf62322e5cd241dd
B00028NLKG,store_540f062a7d98efbb
B0002DHG48,store_aa5231352aee4556
B0002DNRUU,store_f625fad49d7b6303
B0002GFKYI,store_48da55b32da184f5
B0002J3FEW,store_3d5242d28629ba1b
B0002XHKM6,store_b81b1a5c114a8c50
B0004E9ILY,store_3d5e7f51f4d21741
B00064A816,store_4e03a774654dc40c
B00067ZIPO,store_d2498253a31cabff
B0006LNJWO,store_347ead6348e93650
B0006NXPMQ,store_d763fbf7e641f036
B0006ODSKY,store_2381945c8eba0d6d
B0006PRV1U,store_38639eea5c15bc5c
B0006ULJVI,store_55495d8414facb88
B00075MC2W,store_5bc1824930ffbbaf
B00076HMSA,store_622706aa461b68eb
B00078X2UU,store_5c9c7ac5de8d38f7
B00078ZROO,store_57c4fa8276b9979b
B0007CHJGY,store_4e03a774654dc40c
B0007PF8SW,store_ed3664a2a870ba91
B0007XQ2W0,store_9d497405093b9acc
B0007ZG2WI,store_cf6e6dc5478656a1
B0008F6QGO,store_cf37b928a372872c
B0008G1YUG,store_016f36c8df824129
B0009EILPI,store_4e03a774654dc40c
B0009MFUOU,store_85a5a03ad99fc76a
B0009QZYI8,store_73bb131039846e27
B0009TAC14,store_770d3043391bb90b
B0009VS7LE,store_3277d1158b8e7b67
B0009YWGYA,store_1388b778db94b5da
B000AADG10,store_d0941e68da8f3815
B000ABH7GE,store_92bf8d0c6468908a
B000AFILXS,store_b3a4f328cdf07054
B000AMG8E0,store_e90f283873857e96
B000AMRIIK,store_85a5a03ad99fc76a
B000ANM64A,store_6ea45aa136124f3a
B000AYXBHA,store_e849351cded0c153
B000AZ8KY8,store_c37424cc626cc035
B000B12EAM,store_5c5e9c9a547e04d7
B000B658RI,store_08ed943de7b65d96
B000B6DIOI,store_08ed943de7b65d96
B000B7SA9A,store_3517ce9d4236265e
B000B83E3Q,store_3517ce9d4236265e
B000BBPSFA,store_11a6162888a27f31
B000BC1RZY,store_63f02205f30fddf8
B000BF0WZC,store_3517ce9d4236265e
B000BTAWMG,store_fd54256d8b3b6ad8
B000C1VY52,store_fd54256d8b3b6ad8
B000CD3RD2,store_6daa07b178964beb
B000CD7YGS,store_7d130bbaa0f764a7
B000CEQZ9Y,store_ddc804f706a6154b
B000COKYTG,store_82641a91181bbf18
B000DN7BYC,store_b6f363fae94985a3
B000E1ER9A,store_da4dbffcb31d7ff9
B000E3FHJ2,store_44803e1c7000eb08
B000EFDKYE,store_080929594a5f573b
B000EH0EQ4,store_9a37db8d7ebb70f7
B000ETVRQ8,store_cd63b0c002068ffc
B000EVGPE0,store_c91b0d74dcd4e655
B000F0BXLK,store_b4e82d6b62c7aac8
B000FG8SW6,store_68c46a606457643e
B000FI4S1E,store_4963f4bdd72377dd
B000FL6HEC,store_b380dfeb5fd87cb2
B000FQ5NQ0,store_affc395481855ba2
B000FQMTNK,store_726480854c251dfe
B000FRUL8O,store_152fb71d17cbd337
B000FUKK3C,store_822f3cd281277abd
B000FZ003C,store_a1e0fb1b02f741c4
B000G1C2AO,store_78d0b9de508ed72e
B000G386MU,store_5a30c49c98feaf0b
B000G6XJ3S,store_c1fb95d9a5d5e298
B000G8LWZI,store_391b867b8c6d8fef
B000GAQS9G,store_33e6c917c695d29f
B000GCHTH4,store_5e9b60f69165f32f
