store_id,name
store_b652c803258b4fc1,Elle 18
store_22c039e8bc7856a8,Maybelline New York
store_b89884500a1cead9,JIMIRE
store_b0f4665545070569,THE ORDINARY
store_2b6d087d8925f6c3,Oral-B
store_65e005e14c81a5c3,EmaxDesign
store_4b71fe014bba9bd5,Garage Sale Pup
store_79fafb1d8eb73e19,Segbeauty
store_34c8b3d7dadc42ed,Picoway
store_21d6f28a28401efb,HWTONG
store_0f8cf34ec49beba2,New Line Home Entertainment
store_e8fa5f7f95f60aa3,DenTek
store_8ad0be4d1a94ed69,Makone
store_b54ac29d8f60be3c,Beautzilla
store_c0445a8d42fb5696,Colgate
store_9f940a682e03bbfc,SALUX
store_5a42fc4be5952158,HASK
store_44b62040b7f64dc3,Godefroy
store_0dbc61de640e8c82,Bed Head
store_b0258204969e80a5,PURE ORIGINAL INGREDIENTS
store_65f885221e2cf894,PARK AVENUE
store_a5e4c3de8dcb357c,Meeteasy
store_f70b9eceaccde04f,Lacto Calamine
store_dd3027b0b171b836,Panasonic
store_7b8f45fd710f0a3c,Flexitol
store_5cd58e726eb42b06,Dettol
store_da4dbffcb31d7ff9,TIGI
store_85a5a03ad99fc76a,PHILIPS
store_7f25ace49682141a,HAIRGINKGO
store_20655e5a67ae4aee,Navratna
store_32b154364773ce10,Peppa Pig
store_54c64cca0d93137f,BEARDO
store_df16f800ac670969,Pawotence
store_16f9b2b908580e25,Odaban
store_60ffdbd7e89cabf1,Bememo
store_c055221abd3bfe3e,Colorbar
store_d95f32751ceae5cf,Parachute
store_ee17f560a1f77440,YMHPRIDE
store_1ceed3d7b8cb85e9,Garnier
store_133158de48960011,Brush Buddies
store_9989c8f2477258fd,Yeshan
store_ea2e5c70a4e40500,ALSTEN
store_ff682609de385c1b,The Curly Co.
store_5c5e9c9a547e04d7,Gillette
store_d5ae970d24c44e67,BIOLOGIQUE
store_75b0585e6684c828,TruuMe
store_8be6e89335621220,BFWood
store_49e547a993d682d0,Plexaderm
store_e4aa1bc8eb211fed,Pamoire
store_cea5bdbfd9ca8760,QUEWEL
store_c5c17f9439b0d828,Parent's Choice
store_fc6428a935f9c339,DND
store_0a9bc4ef1b3ece52,MADHOLLY
store_1b18e67719c8ed9c,Teenitor
store_56b9419a766012b0,RokBuy
store_9f8b9c14a058f663,Instantly Ageless
store_0e30623acde92249,NIFEISHI
store_883d1b78bc6eed5b,GranNaturals
store_ec7466ff30fb6f9c,Yes To
store_7f37c5a229790e3e,naissance
store_bdd80a356aad2fa5,Technic
store_482939b65a6932b0,Attenir
store_4821052d9d116e4d,HUALEDI
store_ab8d8960fb5a36f7,Below The Belt
store_caf0cdd2f927e86f,Dr.'s Remedy
store_b50ac1ab96c3bf56,Nail-Aid
store_cc9e431346494be7,HeyAlice
store_408afa1e614b6912,Gauge Gear
store_a33feae98ee32fb5,essence cosmetics
store_c19ff2bdd22bd442,MYSWEETY
store_522b276a356bdf39,ALICE
store_56cd3cf5d6a7d619,Carpe
store_85da9905f9a5c06e,Shakira
store_fb991ace663d11c7,EONHUA
store_d3e31046c7f523dc,Paco Rabanne
store_62f5d838cf290527,EBOOT
store_8fdb7e2fa84f4faf,Okay
store_9540b938d66c8c56,Aksice
store_807c38e17337cc21,Keiby Citom
store_1a25cdaac4c7fd31,L’Oréal Paris
store_bbbdfa6425c76f72,Chialstar
store_13ac637516353d08,Salt Of the Earth
store_6b99a3d8639f494b,Cherioll
store_e11f9e14b1a3501f,Shuiniba
store_14ca1fcd236aa43a,SARLA
store_7421686183f65339,ANOGOL
store_ade4ec992bfec36b,Carol's Daughter
store_eba5611730076481,Adofect
store_ca7c69df08918d48,SAUCE BEAUTY
store_9cf02fefbb667f93,TopNotch
store_945f1198b33ff2fd,Heyedrate
store_b7232821a165bc94,Leinuosen
store_4e1580c12a0f8af5,Geyoga
store_f7c24821f67c53a0,Bayer
store_5f53dcbd69359fcd,"xo, Fetti"
store_f1c8d96574f0501c,Rimmel London
store_54f46d64bf130b21,SWIPE
store_98010b25a69ebfdd,Tooletries
store_42bf544109f3dbe5,Syntus
store_f697e0530317509c,Rimmel
store_1e37c39b4551e649,Bar5F
store_0edac239f4c336a1,Autdor
store_36f0f4f244cca9af,FERYES
store_311a44a65324ad88,Eucerin
store_9cf7fe0d45be9069,Pefei
store_3277d1158b8e7b67,GiGi
