product_id,feature_id
0692508988,feature_6ce477845cbb8739
069267599X,feature_d629d10616eb0643
0966068432,feature_d6c6be0b545c8576
0977217205,feature_1b321fbf907c813b
0977217205,feature_bc5345155dc84fe3
0977217213,feature_35dd99ec2fc57c68
0977217213,feature_bc5345155dc84fe3
097920500X,feature_3cf94e99d214f1c5
0984893229,feature_d26a490229255ec9
0985393300,feature_877006bab4d958f4
0985393300,feature_c18df1026bdb7f4e
0990995119,feature_5852fa45ff4df165
0996212205,feature_c63eb3f4604433ee
1598438263,feature_5144865582a20248
1610182464,feature_133061be56c5b2f8
1610182464,feature_53ded3cb5c5799b4
1610182464,feature_606b8ca31577269d
1610182464,feature_b70656ea5f9a945d
1610182464,feature_de42d47f6fb64f9b
1741666929,feature_28e72f24e3269832
1741666929,feature_488a0a1b1aba748a
1891129716,feature_829216bd0b6a44e4
1891129716,feature_d5b2d1858e11a113
1891129716,feature_ed715f1950bdf8d7
1891129716,feature_f4182241a7e2da3e
1908505753,feature_e34225c19e663b0d
419881029X,feature_1a16165654712fe1
419881029X,feature_3170d0af304a48ec
419881029X,feature_983b84fdacae1bd5
419881029X,feature_9da603f3c6b6edc2
419881029X,feature_abb9687f372de0b1
419881029X,feature_cf68f6d1e747d8b5
4293845755,feature_5223497e06770faa
4293845755,feature_72df8c7a5028c5a5
4293845755,feature_98e4d8a273b3e858
4293845755,feature_9fbc044696ddf8ca
6041134473,feature_516ea615a688e0c2
6041134473,feature_5263fb7f0f159765
6041134473,feature_5c53c44a8c8b9765
6041134473,feature_6e53ed77ee63281b
6041134473,feature_c485adacf9f38cc7
6041134473,feature_f77969664caab49a
6041134546,feature_38f1d46507f738b5
6041134546,feature_75e921a519c0dc57
6041134546,feature_976a995f57cb6e49
6041134546,feature_c4e68ccd531524b8
6041134546,feature_d021ac1ba5802ce0
6041134546,feature_dba35de4c093e7fe
6471852363,feature_b2bab1ea03cfd952
6626892843,feature_9db68d2cfd7397ec
6647812547,feature_a0740143c663de1b
6833540454,feature_13102e3945e81688
6833540454,feature_228108598631f3ea
6833540454,feature_8932f28beca5b0f2
7458592737,feature_3d5c64b236f48df3
7458592737,feature_57f01df5108181a7
7458592737,feature_62f0c13c3dd6ab59
7458592737,feature_b91e5da186598e8a
7458592737,feature_fdbff6ea74b980fa
8279996397,feature_07b2b8bc65e03037
8279996397,feature_cbb2594c94247348
8279996397,feature_e5336bd89f5f54be
8279996397,feature_f8425965c05afbf5
8674394329,feature_92724177d8a2e8c5
9533223618,feature_1f32a6d76652f70a
9602344954,feature_0180678a4745cfcd
9602344954,feature_575054bacd504944
9602344954,feature_9226d2549331375d
9602344954,feature_b91bac3d59d5d9e9
9602344954,feature_eb60cec5b3b0a173
